| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| java开发工程师 | 郑州·惠济区·天旺广场 | 7-10K | 5-10年中专/中技 | 诺宇科技 | 通信/网络设备不需要融资100-499人 | https://www.zhipin.com/job_detail/161b14da8b7c28691HRy2t2-EFdZ.html |
| 架构师（Java开发工程师） | 郑州·金水区·祭城 | 20-35K | 5-10年本科 | 牧原食品股份有限公司 | 农/林/牧/渔已上市10000人以上 | https://www.zhipin.com/job_detail/2082035192b2a5c51Hx40921EVZW.html |
| Java | 郑州·中原区·高新区 | 8-12K | 3-5年大专 | 八六三软件 | 计算机软件未融资500-999人 | https://www.zhipin.com/job_detail/dcb76c3bf53adb8e1HB42969GFNZ.html |
| java高级开发工程 | 郑州·金水区·花园路 | 9-14K | 5-10年本科 | 首云科技 | 电子/硬件开发天使轮20-99人 | https://www.zhipin.com/job_detail/01fe215222ccb8f71Hx62dm6ElNS.html |
| 对日java开发工程师 | 郑州·中原区·新郑大 | 7-10K | 1-3年本科 | 我讯科技 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/948a7f6d2be6071c1XB80t--ElJY.html |
| 中级java开发工程师 | 郑州·中原区·高新区 | 11-15K | 3-5年本科 | 安徽屹通 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/b648e7d456a8a8df1Hx829i5EFRU.html |
| Java双休/五险一金 | 郑州·管城回族区·南三环汽配大世界 | 9-12K | 5-10年本科 | 科瑞思拓 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/84403bea2e61468d1HJ-3NS4GFJZ.html |
| java | 郑州·管城回族区·东建材 | 7-12K·13薪 | 3-5年本科 | 慧博云通 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/042380d2ec110f5e1Hx80t69EVVQ.html |
| Java技术支持 | 郑州·中原区·新郑大 | 4-6K | 1-3年大专 | 云库高飞 | 互联网不需要融资20-99人 | https://www.zhipin.com/job_detail/7399f3853b2b42b71HN40968FVRV.html |
| 高级java开发 | 郑州·中原区·五龙口 | 10-15K | 3-5年本科 | 恩普特 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/26328d5cbd07a4b41X1z3tm1EVFY.html |
| 研发经理 | 郑州 | 20-25K | 经验不限本科 | 某中型信息安全公司 | 信息安全未融资100-499人 | https://www.zhipin.com/job_detail/4e80f6ac53233f6e1HN53du5EldR.html |
| 高级java开发（郑州） | 郑州·中原区·高新区 | 12-14K | 5-10年本科 | 上海泓愿 | 计算机软件不需要融资0-20人 | https://www.zhipin.com/job_detail/dc89d8d58b0d23021Hx82dm5E1tQ.html |
| java后端开发（教育行业）稳定 | 郑州·管城回族区·东大街 | 10-12K | 5-10年大专 | 河南杰出教育科技 | 在线教育未融资100-499人 | https://www.zhipin.com/job_detail/545c3142480012451Hx-3967FFBZ.html |
| 全栈 | 郑州·中原区·新郑大 | 10-11K | 5-10年本科 | 快码软件 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/1f2b023abb824de21Hx83Ny4GVtZ.html |
| java工程师 | 郑州·中原区·伏牛路 | 13-20K | 3-5年本科 | 美西蜥蜴 | 互联网20-99人 | https://www.zhipin.com/job_detail/cea9d6d3bd52eca61Hx52d28EVBQ.html |
| 资深java工程师 | 郑州·管城回族区·航海东路 | 8-12K | 5-10年本科 | 智霆科技 | 人工智能20-99人 | https://www.zhipin.com/job_detail/3b552b523f2e23ce1HN_39y8EldV.html |
| 【双休】Java开发工程师 | 郑州·二七区·京广路 | 8-13K | 3-5年本科 | 河南捷茂电子科技 | 通信/网络设备不需要融资100-499人 | https://www.zhipin.com/job_detail/991e8d0e079ff89f1Hx-2NS9EVBY.html |
| 资深java研发工程师（五险一金+免食宿） | 郑州·新郑市·航空港区 | 15-20K | 5-10年本科 | 国富集团 | 互联网不需要融资20-99人 | https://www.zhipin.com/job_detail/93b1bd71357a5f881Hx80t-_FFRR.html |
| java | 郑州·二七区·火车站 | 3-4K | 经验不限大专 | 呼将企业管理 | 人工智能0-20人 | https://www.zhipin.com/job_detail/862e041b089d2a191HNy3ti5EltS.html |
| Java讲师 | 郑州·新郑市·航空港区 | 22-35K·13薪 | 5-10年本科 | 传智黑马郑州分校 | 培训/辅导机构已上市20-99人 | https://www.zhipin.com/job_detail/7af7c8fbc540b3721XV63t-5FFNY.html |
| Java | 郑州·中原区·高新区 | 6-9K | 3-5年大专 | 海友共创 | 企业服务不需要融资20-99人 | https://www.zhipin.com/job_detail/97e00f06502607671Hx62tq4EVJZ.html |
| JAVA工程师 | 郑州·中原区·高新区 | 5-7K | 3-5年大专 | 迈佳迈 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/91193cf88908e3c41n183N65EVI~.html |
| java高级软件工程师 | 郑州·金水区·花园路 | 14-18K | 5-10年本科 | 车如意科技 | 移动互联网0-20人 | https://www.zhipin.com/job_detail/7737103ebd4b19241Hx52tW9F1RZ.html |
| 后端开发 | 郑州·管城回族区·航海东路 | 3-6K | 3-5年本科 | 岱科思 | 互联网未融资20-99人 | https://www.zhipin.com/job_detail/1f784cee458de9e91Hx509-4EVpW.html |
| java开发 | 郑州·中原区·高新区 | 5-6K | 1-3年大专 | 南京迈特望 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/9fc87bad0650a30d1HZ_2tu6ElRU.html |
| 资深java工程师 | 郑州·金水区·经五路 | 15-30K | 5-10年本科 | 小鱼易连 | 互联网D轮及以上500-999人 | https://www.zhipin.com/job_detail/7ae409b3e161a5c31Hx83d21GVJW.html |
| JAVA高级研发工程师 | 郑州·中原区·凯旋门 | 11-17K | 5-10年本科 | 昌聚亿 | 计算机软件不需要融资500-999人 | https://www.zhipin.com/job_detail/fe9026725eb748291Hx82966GFdZ.html |
| 高级项目经理（java方向）双休+五险一金 | 郑州·中原区·新郑大 | 10-15K | 3-5年本科 | 中玑信拓 | 计算机软件20-99人 | https://www.zhipin.com/job_detail/b46e7ec8d84051951HN53N-7EFFX.html |
| 中级java开发工程师 | 郑州·金水区·曼哈顿广场 | 11-14K | 5-10年本科 | 能睿科技 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/9d5ef6be819d23911Hx429u6GFpV.html |
| java开发工程师 | 郑州·惠济区·天旺广场 | 8-11K | 5-10年中专/中技 | 号令天下 | 通信/网络设备未融资100-499人 | https://www.zhipin.com/job_detail/3e1ab6662823adb71HRz3d-4EFBR.html |
| 计算机研发相关工程师（大厂+大量招人） | 郑州 | 20-40K | 经验不限本科 | 某大型国际计算机软件公司 | 计算机软件不需要融资10000人以上 | https://www.zhipin.com/job_detail/b98191ca864f63bc1Hx809i1FFtV.html |
| java开发工程师 | 郑州·管城回族区·航海东路 | 12-20K | 经验不限本科 | 华润医商数字化中心 | 计算机服务100-499人 | https://www.zhipin.com/job_detail/58061d5878e4f3381Hd43d29F1pS.html |
| java工程师 | 郑州·金水区·丰产路 | 8-13K | 3-5年本科 | 泽赛 | 互联网不需要融资20-99人 | https://www.zhipin.com/job_detail/757c382b423a12af1Hx83Nu5FVZU.html |
| 高级java讲师 | 郑州·金水区·龙子湖校区 | 12-15K | 1-3年本科 | 武汉融合一公里教... | 计算机软件100-499人 | https://www.zhipin.com/job_detail/1ecdf978243a47331HFz29-0EFFT.html |
| java架构师 | 郑州·金水区·燕庄 | 20-25K | 5-10年本科 | UU跑腿 | 移动互联网B轮1000-9999人 | https://www.zhipin.com/job_detail/81014aaf2c32dc4c1HRz3Nq5EFRW.html |
| Java | 郑州·金水区·国基路 | 5-10K | 经验不限本科 | 中科软 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/33996609a01605821HN829-1F1RR.html |
| 软件开发工程师（数据管理平台开发） | 郑州·金水区·龙子湖校区 | 15-25K·13薪 | 3-5年本科 | 超聚变技术有限公司 | 通信/网络设备未融资1000-9999人 | https://www.zhipin.com/job_detail/bd6f449a154560e71Hx42du-GVRT.html |
| Java | 郑州·金水区·国贸360 | 10-15K | 经验不限本科 | 河南梦醒网络 | 培训/辅导机构20-99人 | https://www.zhipin.com/job_detail/842d7cbbd63100591Xd-2d29EVRZ.html |
| 中级java开发工程师 | 郑州·金水区·龙子湖 | 8-9K | 3-5年本科 | 数斯网络科技 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/2a58b5c71ab7ac421HJ83t-0GFtW.html |
| 郑州-JAVA-紧急 | 郑州·中原区·高新区 | 5-7K | 3-5年本科 | 中汇旭博 | 电子商务20-99人 | https://www.zhipin.com/job_detail/9ce351f9913251151Hx809m_FldZ.html |
| Java | 郑州·金水区·CBD | 7-10K | 3-5年本科 | 中平信息技术 | 计算机软件100-499人 | https://www.zhipin.com/job_detail/d642b540f92f20971HJ929q6F1VV.html |
| Java讲师 | 郑州·金水区·北环 | 10-15K | 3-5年本科 | 打造前程 | 互联网不需要融资500-999人 | https://www.zhipin.com/job_detail/b1618bb96ff9116733Jy2Nm1F1Q~.html |
| 初级Java开发工程师 | 郑州·中原区·高新区 | 6-8K | 1-3年本科 | 郑州大方软件 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/7f10ae40c523501f1XR83tm4FVdU.html |
| java开发工程师 | 郑州·金水区·郑东新区CBD | 10-13K | 3-5年本科 | 中电金信 | 计算机软件B轮10000人以上 | https://www.zhipin.com/job_detail/5af77d0c5a068cd11HN80t20EVtS.html |
| 高级java开发工程师 | 郑州·金水区·祭城 | 10-15K | 5-10年本科 | 中国电信集成 | 通信/网络设备不需要融资10000人以上 | https://www.zhipin.com/job_detail/7e801796e9d994b81Hx83dm5FFNZ.html |
| JAVA开发工程师-郑州 | 郑州·金水区·国基路 | 4-6K | 1-3年本科 | 华晨阳 | 计算机软件100-499人 | https://www.zhipin.com/job_detail/1d5db81fefbda7a11XZ93N--GFNW.html |
| java开发（高级）14-18k | 郑州·金水区·CBD | 14-18K | 5-10年本科 | 纳迦科技 | 信息安全未融资0-20人 | https://www.zhipin.com/job_detail/aec42dc8bce308731HJ93tq5GVRW.html |
