| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| 中/高级java开发工程师（短期全国内出差） | 长沙·芙蓉区·远大路 | 10-15K | 5-10年本科 | 长沙卓驰电子科技 | 通信/网络设备20-99人 | https://www.zhipin.com/job_detail/f59053a392ee18141HN52tu9E1ZQ.html |
| java研发工程师（接口） | 长沙 | 15-30K·13薪 | 3-5年本科 | 重庆某小型互联网开源代码协作平台公司 | 互联网20-99人 | https://www.zhipin.com/job_detail/0a1bcd947f2bde1c1HN70ty_EVdX.html |
| java（证劵） | 长沙·岳麓区·望城坡 | 11-14K | 5-10年本科 | 睿服科技 | 计算机软件不需要融资1000-9999人 | https://www.zhipin.com/job_detail/e1e4929b9e8431d21HNz3dW5GVRR.html |
| JAVA开发岗（某知名银行正编，国企） | 长沙 | 25-35K | 经验不限本科 | 某银行公司 | 银行20-99人 | https://www.zhipin.com/job_detail/1ba15354a49e29031Hx639S1GVpW.html |
| 高级java工程师 | 长沙·开福区·月湖 | 16-30K | 10年以上本科 | 春播万象 | 医疗健康20-99人 | https://www.zhipin.com/job_detail/d83a41f38ac95f191Xx42NW6EFFU.html |
| java开发工程师（长沙） | 长沙 | 20-28K·15薪 | 5-10年本科 | 某银行公司 | 银行20-99人 | https://www.zhipin.com/job_detail/d25a813a1590052a1HN-0921EFtW.html |
| java高级后端开发工程师 | 长沙·岳麓区·阳光100 | 15-20K | 5-10年大专 | 湖南臻贤达 | 计算机软件20-99人 | https://www.zhipin.com/job_detail/47b437ce500705801Hx-2NW8E1tT.html |
| JAVA（长沙/北京） | 长沙 | 20-30K·14薪 | 3-5年本科 | 某大型企业服务公司 | 企业服务B轮500-999人 | https://www.zhipin.com/job_detail/9bc6d076bf8e40931HJ53t--FldY.html |
| 高级java开发工程师 | 长沙·开福区·湘雅路 | 8-13K | 5-10年本科 | 华宏信达 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/4440b273ceebcc9d1XJ92NW9FVZR.html |
| java开发工程师 | 长沙·岳麓区·麓谷 | 10-14K | 5-10年大专 | 创智艾泰克 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/63173909177061ea1XJy2ti_ElBT.html |
| 中高级Java开发工程师 | 长沙·开福区·马栏山 | 10-15K | 5-10年本科 | 禾辰纵横 | 运营商/增值服务未融资20-99人 | https://www.zhipin.com/job_detail/4c5e7b3f595e1e2a1HF_0925GVNV.html |
| java高级开发工程师 | 长沙·雨花区·高桥 | 15-25K | 5-10年本科 | 盐津铺子 | 食品/饮料/烟酒已上市1000-9999人 | https://www.zhipin.com/job_detail/ffdf63fb428e2ad11HJ809u1FFRT.html |
