| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| 赴日软件工程师 | 沈阳·浑南区·桃仙 | 9-14K | 3-5年本科 | 艾瑞 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/fb9e51e6c6f723c01Hx-2di0FFtU.html |
| SDK高级开发工程师 | 沈阳·浑南区·白塔 | 10-15K | 3-5年大专 | 智睿博 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/71133cde485ce9731Hx_09m8EVZT.html |
| 云平台高级工程师 | 沈阳 | 20-25K | 3-5年本科 | 某知名汽车研发公司 | 汽车研发/制造未融资1000-9999人 | https://www.zhipin.com/job_detail/ed5414fc31b082e21HF62N64EFNW.html |
| Java高级开发 | 沈阳 | 25-40K·13薪 | 5-10年本科 | 某大型计算机软件公司 | 计算机软件B轮100-499人 | https://www.zhipin.com/job_detail/9e07cf0f28b5a28d1X172Nq6F1BZ.html |
| 软件工程师 | 沈阳·铁西区·财富广场 | 6-11K | 3-5年大专 | 瑞晟智能装备 | 机械设备/机电/重工20-99人 | https://www.zhipin.com/job_detail/bb21453884b9abb51HJ53dS8FlRY.html |
| Java交付工程师-沈阳（需要出差） | 沈阳·铁西区·铁西广场 | 8-13K | 3-5年本科 | 邦盛科技 | 计算机服务D轮及以上1000-9999人 | https://www.zhipin.com/job_detail/6c61fffe8432194a1Hx73tW1F1ZW.html |
| 云计算工程师（外包） | 沈阳·皇姑区·北陵 | 11-15K | 5-10年本科 | 讯方技术股份 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/1c98a8b016cf07c91Hx53NS_GVRV.html |
| 互联网平台架构师 | 沈阳·和平区·三好街 | 20-25K | 5-10年本科 | 奥创纪元 | 计算机软件不需要融资500-999人 | https://www.zhipin.com/job_detail/a1aec36005bf1bf81XF509y7E1VX.html |
| java开发 | 沈阳·浑南区·白塔 | 10-15K | 5-10年本科 | 沈阳晨曦载曜科技 | 移动互联网0-20人 | https://www.zhipin.com/job_detail/0ec865c2049a50121HNy3dy9FlBU.html |
| 安卓工程师Andriod | 沈阳 | 15-25K·13薪 | 3-5年本科 | 某知名计算机软件上市公司 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/a6a56e2a542b95101HJ92tu9EVpX.html |
| 云平台工程师 | 沈阳 | 20-25K | 3-5年本科 | 某知名汽车研发公司 | 汽车研发/制造未融资1000-9999人 | https://www.zhipin.com/job_detail/fef1a88da337ea241HF72tS1ElRQ.html |
| SDK高级开发工程师（地图，导航） | 沈阳·皇姑区·三台子 | 15-20K | 5-10年本科 | 北京朗杰 | 培训/辅导机构D轮及以上100-499人 | https://www.zhipin.com/job_detail/5ede69db0e12e3651Hx_09y0FlNV.html |
| dba数据库运维工程师 | 沈阳·沈河区·北站 | 16-23K | 3-5年本科 | 金易数科 | 计算机软件A轮100-499人 | https://www.zhipin.com/job_detail/429c88612e46747c1Hx929W9GFVY.html |
| 软件工程师 | 沈阳·浑南区·桃仙 | 5-8K | 3-5年本科 | 隆基 | 仪器仪表/工业自动化不需要融资20-99人 | https://www.zhipin.com/job_detail/bef0f107c928cbf51HB43dy1F1RU.html |
| 兼职  软件测试工程师 | 沈阳·铁西区·保工 | 15-23K | 5-10年学历不限 | 湾流畅游 | 游戏不需要融资20-99人 | https://www.zhipin.com/job_detail/0253d574bfe78a681Hx92dy-FVdY.html |
| Java（线上面试+氛围好+加班少） | 沈阳·浑南区·白塔 | 20-40K·14薪 | 1-3年本科 | 华为技术有限公司 | 计算机软件不需要融资10000人以上 | https://www.zhipin.com/job_detail/a98ed8074fdaef0c1HZ53dW1EFZR.html |
| 实施运维 | 沈阳·和平区·文化路 | 8-13K | 3-5年大专 | 上古网络 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/6af2e46bebc8d8781Hx92N29EVJU.html |
| Java | 沈阳·和平区·太原街 | 500-550元/天 | 3-5年本科 | 沈阳世纪森博 | 计算机服务不需要融资0-20人 | https://www.zhipin.com/job_detail/f702d3b42003143e1HJ_39m4GVBZ.html |
| 中级java开发工程师 | 沈阳 | 6-8K | 3-5年本科 | 民航东北凯亚 | 计算机软件不需要融资1000-9999人 | https://www.zhipin.com/job_detail/98e0a2a0f6d2301d1Hx92N66E1dW.html |
| java全栈开发工程师 | 沈阳·浑南区·白塔 | 8-11K | 3-5年本科 | 东信创智 | 汽车零部件未融资100-499人 | https://www.zhipin.com/job_detail/efa5a976654958821Hx_3t67FVBV.html |
| Java | 沈阳 | 20-30K | 经验不限本科 | 某大型计算机软件公司 | 计算机软件100-499人 | https://www.zhipin.com/job_detail/dc20c72dc61e15f41HZ509i5EVNZ.html |
| JAVA开发工程师 | 沈阳·皇姑区·华山 | 12-15K | 5-10年本科 | 上海创景 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/be5ad19285f89be61Hx43dq1EFtW.html |
| 机器翻译工程师 | 沈阳·皇姑区·塔湾 | 15-25K | 3-5年本科 | ECI | 咨询不需要融资500-999人 | https://www.zhipin.com/job_detail/4927424796aa69ae1XN-3t25E1pU.html |
| 高级Java | 沈阳·浑南区·白塔 | 18-30K·15薪 | 5-10年本科 | 宽睿科技 | 计算机软件C轮20-99人 | https://www.zhipin.com/job_detail/2c4c47663eb5304b1Xd43N-7FVtW.html |
| 研发经理 | 沈阳·和平区·三好街 | 8-13K | 3-5年本科 | 奥捷科技 | 计算机软件A轮100-499人 | https://www.zhipin.com/job_detail/4d3866fa0b0483391XB-39-_GFNS.html |
| 高级软件开发工程师 | 沈阳 | 10-15K | 5-10年本科 | 明阳研究院 | 计算机服务20-99人 | https://www.zhipin.com/job_detail/545d73cf82cbce0e1Hx829m9FltS.html |
| 产品经理 | 沈阳·和平区·文化路 | 9-12K | 3-5年本科 | 爱可生 | 通信/网络设备未融资500-999人 | https://www.zhipin.com/job_detail/474f8c90b007f3e91Hx639u7E1NY.html |
| Java工程师 | 沈阳·浑南区·白塔 | 9-11K | 3-5年本科 | 丹彤科技 | 计算机软件0-20人 | https://www.zhipin.com/job_detail/ec4bbf146066a5831HNy3tW7FltS.html |
| java(英文流利) | 沈阳·沈河区·北站 | 12-15K·13薪 | 5-10年本科 | 凯捷 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/2984cb8c51d3e6f51Hx82t26EVdS.html |
| 高级 Android 开发工程师 | 沈阳 | 10-15K | 5-10年本科 | 艾尔时代 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/f5cf0cd9117766911HJ929W8ElVQ.html |
| 软件开发工程师 | 沈阳·和平区·三好街 | 8-12K·13薪 | 1-3年本科 | 北京芊慧 | 互联网A轮100-499人 | https://www.zhipin.com/job_detail/298ccff51887c95c1XB-3Nq9GVFT.html |
| Framework安卓开发工程师 | 沈阳 | 20-25K | 5-10年大专 | 某大型计算机软件上市公司，总部位于沈阳 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/3ab2f6d3a245a25f1Hx82ty5FFZU.html |
