| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| Java开发工程师 | 重庆·南岸区·南滨路 | 25-50K·16薪 | 经验不限硕士 | 蚂蚁集团(互联网) | 互联网金融未融资500-999人 | https://www.zhipin.com/job_detail/899f9becc840e36c1HF539S8ElZS.html |
| java中高级开发工程师 | 重庆·沙坪坝区·大学城 | 18-25K·14薪 | 5-10年本科 | 云之家 | 互联网A轮100-499人 | https://www.zhipin.com/job_detail/d0c2fbcd70c7c3631Hx_29S-FVpV.html |
| java | 重庆·渝北区·光电园 | 7-10K | 1-3年本科 | 软通动力 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/80cee8594366f4ff1Hx-0960FVpV.html |
| java开发工程师 | 重庆·渝中区·渝州路 | 10-15K·13薪 | 5-10年本科 | 哈希智能 | 互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/612b30d8807462f81HN909S7FlZQ.html |
| 高级Java开发工程师-数据平台 | 重庆·江北区·江北嘴 | 17-25K·13薪 | 3-5年本科 | 异连 | 互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/4c27d48814ca559c1Hd93d-_EFdV.html |
| java高级开发工程师 | 重庆·渝北区·光电园 | 8-12K | 5-10年本科 | 应图马教育 | 培训/辅导机构不需要融资100-499人 | https://www.zhipin.com/job_detail/d4ef6a147bbb24a31XB73dm-EVZR.html |
| java开发工程师 | 重庆·渝北区·人和 | 9-14K | 5-10年本科 | 北方科诚 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/abffb6dc29625ff81Hx609u_GFZY.html |
| 高级java架构师 | 重庆·渝中区·渝州路 | 20-40K | 5-10年本科 | 相信光网络科技 | 互联网20-99人 | https://www.zhipin.com/job_detail/0ed229fabad389641HN52969GFZR.html |
| java高级研发工程师 | 重庆·渝北区·大竹林 | 10-14K | 5-10年本科 | 关键科技 | 通信/网络设备未融资100-499人 | https://www.zhipin.com/job_detail/8e09ff602f45f6901HN439u7ElRQ.html |
| java开发工程师 | 重庆·渝中区·大坪 | 10-15K | 5-10年本科 | 重庆电信 | 互联网不需要融资1000-9999人 | https://www.zhipin.com/job_detail/517f6ab76804b9e61XF-09S0F1BR.html |
| java全栈工程师 | 重庆·渝中区·七星岗 | 15-20K | 5-10年本科 | 华体联 | 培训/辅导机构天使轮20-99人 | https://www.zhipin.com/job_detail/2f1d43b1193f7cde1Hx_2tW4ElRX.html |
| Java开发工程师（重庆） | 重庆·渝北区·大竹林 | 8-10K | 3-5年本科 | 天源迪科 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/fcacea730c7aae431Hx50tu5EVNT.html |
| java开发工程师 | 重庆·九龙坡区·高新区 | 11-18K | 3-5年本科 | 忽米网 | 互联网未融资100-499人 | https://www.zhipin.com/job_detail/e2c775fb10656e391XB73tS-FldZ.html |
| java开发 | 重庆 | 9-13K | 3-5年本科 | 某大型知名通信上市公司 | 通信/网络设备已上市10000人以上 | https://www.zhipin.com/job_detail/60b9b9628885c6ec1HJ53di7FVZR.html |
| java开发工程师 | 重庆·渝北区·人和 | 11-14K | 3-5年本科 | 神州通誉 | 计算机软件未融资1000-9999人 | https://www.zhipin.com/job_detail/af9ecf9c3d04fd251Hdy0t-5FVdT.html |
| 资深java开发工程师 | 重庆·渝北区·冉家坝 | 25-35K | 5-10年本科 | 泛语科技 | 大数据不需要融资100-499人 | https://www.zhipin.com/job_detail/b97b7dde5885f8af1HZ72dS1EFZV.html |
| 高级JAVA开发工程师 | 重庆·渝北区·大竹林 | 20-40K·14薪 | 5-10年本科 | 马上消费金融 | 互联网金融不需要融资1000-9999人 | https://www.zhipin.com/job_detail/1640d0ce1fc71ae91Hx709m4FlpZ.html |
| 高级JAVA开发人员（医药） | 重庆·渝北区·回兴 | 10-15K | 5-10年本科 | 中冉数字 | 互联网已上市500-999人 | https://www.zhipin.com/job_detail/48ad5bf1d783793e1HNy3dy_EFFT.html |
| Java（分布式擅长） | 重庆·渝北区·人和 | 9-14K | 3-5年本科 | 汉克时代 | 互联网不需要融资1000-9999人 | https://www.zhipin.com/job_detail/7f469579f6f4c3cb1HN50ty_GVRQ.html |
| JAVA开发工程师 | 重庆·渝北区·新牌坊 | 6-9K | 1-3年本科 | 长亮科技 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/b01667999bd524403nx-0tS6EVU~.html |
| 高级JAVA软件工程师（ 8K-15K） | 重庆·渝北区·龙溪 | 8-13K | 5-10年大专 | 一寸光年 | 游戏20-99人 | https://www.zhipin.com/job_detail/db13e9c6c64f44a71Hx_2tS5GFNR.html |
| 高级java工程师 | 重庆·渝北区·回兴 | 8-13K | 5-10年本科 | 亿启诚 | 计算机软件20-99人 | https://www.zhipin.com/job_detail/383e360489fc5eca1XN_29y7FVdY.html |
| 高级java研发工程师 | 重庆·渝北区·人和 | 30-50K·13薪 | 3-5年本科 | 蚂蚁集团 | 互联网D轮及以上10000人以上 | https://www.zhipin.com/job_detail/0a73b38adad225091HJ-0t68GVBW.html |
| 高级Java开发工程师 | 重庆·渝北区·冉家坝 | 15-18K | 5-10年本科 | 凯桥信息 | 医疗健康不需要融资20-99人 | https://www.zhipin.com/job_detail/2a3b480f919f66431XN73N25EVtS.html |
| 高级java开发工程师 | 重庆·渝中区·解放碑 | 12-18K | 5-10年本科 | 九章开物科技有限公司 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/53cb480276c5bd611Hd83di_EFpS.html |
| Java技术总监 | 重庆·渝北区·冉家坝 | 15-30K | 5-10年本科 | 小十字 | 移动互联网天使轮0-20人 | https://www.zhipin.com/job_detail/df05908264cc0fac1nd629W9GFVR.html |
| Java高级开发工程师 | 重庆·大渡口区·九宫庙 | 18-30K·13薪 | 5-10年本科 | 重庆久远银海 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/6b437f1f57f01a2d33d_2t--FVQ~.html |
| java高级软件开发工程师 | 重庆·渝北区·黄泥塝 | 15-20K | 5-10年本科 | 重庆松山医院 | 医疗服务500-999人 | https://www.zhipin.com/job_detail/e8bcc4229a611b221HNz3d21F1VU.html |
| Java高级开发工程师 | 重庆·南岸区·弹子石 | 25-50K·16薪 | 经验不限本科 | 阿里巴巴集团 | 互联网已上市10000人以上 | https://www.zhipin.com/job_detail/29c60e85684677651XR_3Nu_GVZU.html |
| java开发工程师 | 重庆·渝北区·人和 | 8-12K·13薪 | 5-10年本科 | 捷佳润科技 | 物联网未融资20-99人 | https://www.zhipin.com/job_detail/775633ed409568881HJ609u0EVFX.html |
