| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| Java | 北京 | 30-60K·16薪 | 5-10年本科 | 京东集团 | 电子商务已上市10000人以上 | https://www.zhipin.com/job_detail/bc6162b781cb02a81HB63N28EFFT.html |
| java 开发工程师(985,211本科以上学历) | 北京 | 20-35K | 5-10年本科 | 某计算机软件公司 | 计算机软件A轮20-99人 | https://www.zhipin.com/job_detail/4e4077d7906445ac1Hx629q6EFBY.html |
| java开发 | 北京·东城区·天坛 | 20-26K | 5-10年本科 | 国都时代 | 计算机软件100-499人 | https://www.zhipin.com/job_detail/bbdf74487da36f221Hx_3t69E1JQ.html |
| java | 北京·海淀区·上地 | 14-22K | 5-10年本科 | 北京福瑞兰斯 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/0f56e4901c81b0d51HJ929u4F1FW.html |
| Java开发工程师 | 北京·朝阳区·善各庄 | 15-25K | 5-10年本科 | 蓝港互动 | 互联网已上市100-499人 | https://www.zhipin.com/job_detail/62078d8c351bd2f91HJ709-1FlFU.html |
| java开发工程师 | 北京·朝阳区·太阳宫 | 20-40K | 5-10年本科 | 成都英悦芯瑞网络科技 | 互联网金融1000-9999人 | https://www.zhipin.com/job_detail/cc323e700e0353081HJ83d60EVtU.html |
| 高级java开发 | 北京·海淀区·上地 | 19-22K | 5-10年本科 | 中电金信 | 计算机软件B轮10000人以上 | https://www.zhipin.com/job_detail/754acea4203736101Hx_3di9GFBV.html |
| Java架构师 | 北京·朝阳区·朝外 | 25-35K·14薪 | 5-10年本科 | 北京系未企业管理 | 互联网20-99人 | https://www.zhipin.com/job_detail/4f603248bc7b9c821Hx_3Nm6FFFR.html |
| Java | 北京·朝阳区·三元桥 | 40-60K·14薪 | 5-10年本科 | 诸云科技 | 互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/dff2b655a3b41cc51Hx_29q_FVRX.html |
| java | 北京 | 35-65K·16薪 | 5-10年本科 | 某大型大数据公司 | 大数据C轮500-999人 | https://www.zhipin.com/job_detail/4c4e3054d4ac01851Hdz2Ny4FltT.html |
| java技术经理 | 北京 | 30-35K·14薪 | 5-10年本科 | 某500强上市公司 | 汽车研发/制造1000-9999人 | https://www.zhipin.com/job_detail/8a8ff1c47fdd70b81HV_39S4F1JX.html |
| java开发 | 北京·西城区·金融街 | 19-24K | 5-10年本科 | 元空间 | 游戏未融资100-499人 | https://www.zhipin.com/job_detail/0eaab189654c36b41Hx-3Nu8FFpZ.html |
| Java工程师 | 北京·顺义区·后沙峪 | 18-25K | 5-10年本科 | 翌飞锐特 | 计算机软件B轮100-499人 | https://www.zhipin.com/job_detail/e7e38ff70e1664921XZ_29S8FFpX.html |
| Java | 北京·石景山区·模式口 | 15-25K | 5-10年大专 | 灵云科技 | 计算机软件0-20人 | https://www.zhipin.com/job_detail/07d57998c63e51771Hx_2t-9FlRY.html |
| 高级java工程师 | 北京·东城区·和平里 | 20-30K·13薪 | 5-10年大专 | 美亚宏信 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/e0a0ca16f32e38b71nJ72tq7E1JV.html |
| Java工程师 | 北京·大兴区·亦庄 | 35-60K·16薪 | 5-10年本科 | 京东集团 | 电子商务已上市10000人以上 | https://www.zhipin.com/job_detail/a43e4276ca6e8af91nRz2N6_FVVR.html |
| java-开发工程师 | 北京·海淀区·清河 | 21-30K·16薪 | 5-10年本科 | 小米 | 互联网已上市10000人以上 | https://www.zhipin.com/job_detail/a31ae332c16c7b6d1nJz0ti1E1NX.html |
| java开发 | 北京·顺义区·石园 | 18-23K | 5-10年本科 | 法本 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/62b14083dc69cca31HN909W9ElBX.html |
| 高级java开发 | 北京 | 25-40K | 5-10年本科 | 北京某大型计算机软件公司 | 计算机软件D轮及以上1000-9999人 | https://www.zhipin.com/job_detail/bf22885dd2d6efe71Hx809q-GVVW.html |
| 中高级Java工程师 | 北京·朝阳区·朝青 | 20-23K | 5-10年本科 | 京北方 | 互联网金融已上市10000人以上 | https://www.zhipin.com/job_detail/bab3bae2be9addf41HF839S_EVRV.html |
| Java开发工程师 | 北京·东城区·北新桥 | 20-35K | 5-10年本科 | 车来了 | 互联网C轮100-499人 | https://www.zhipin.com/job_detail/4ec570cb016039c91HN409i1EFFT.html |
| java高级 | 北京 | 45-75K·14薪 | 5-10年本科 | 某大型互联网公司 | 互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/23080c5c622951bd1HRy3NS6ElRZ.html |
| java技术经理 | 北京·海淀区·中关村 | 30-40K | 5-10年本科 | 东方通 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/cd31d6e7f6e8c0541HJ52NW1E1JQ.html |
| 资深java工程师 | 北京·朝阳区·大望路 | 25-35K·13薪 | 5-10年本科 | 倍孜网络 | 互联网未融资100-499人 | https://www.zhipin.com/job_detail/2e837649464c4b0a1HN939i7FldT.html |
| Java | 北京 | 30-50K·15薪 | 5-10年本科 | 某大型互联网公司 | 在线教育D轮及以上1000-9999人 | https://www.zhipin.com/job_detail/89584aced46695aa1nZ82NS7EFZR.html |
