| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| MJ0055-高级Java开发工程师 | 成都 | 20-30K | 5-10年本科 | 共识科技 | 互联网不需要融资20-99人 | https://www.zhipin.com/job_detail/38e98a52af3f35271HN-29y8F1ZX.html |
| java工程师 | 成都 | 18-25K·13薪 | 3-5年大专 | 某知名旅游公司 | 旅游1000-9999人 | https://www.zhipin.com/job_detail/e3beb49c085e80931Hx-29q6FFNV.html |
| java开发工程师 | 成都 | 25-35K·16薪 | 5-10年本科 | 某大型移动互联网公司 | 移动互联网100-499人 | https://www.zhipin.com/job_detail/2126aeb634af5cc61Hdy2N-8EFtS.html |
| Java | 成都·武侯区 | 25-50K | 5-10年本科 | 蚂蚁集团 | 互联网D轮及以上10000人以上 | https://www.zhipin.com/job_detail/746fd007e9799c5b1XV90t29GFI~.html |
| Java开发工程师 | 成都·武侯区·新会展中心 | 9-14K | 5-10年本科 | 天阳科技 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/b7d648d0823ccd111XN43Nu5FlpV.html |
| 软件架构师Java | 成都·武侯区·环球中心 | 18-35K | 5-10年本科 | topsun | 计算机软件100-499人 | https://www.zhipin.com/job_detail/8fc42e2c4a044b281X1y3t64FVFW.html |
| Java | 成都·郫都区·红光镇 | 20-40K | 经验不限本科 | 新凯来技术有限公司 | 电子/半导体/集成电路100-499人 | https://www.zhipin.com/job_detail/4e8f8ed3674bbad21Hx42NS_ElJV.html |
| java高级开发 | 成都·武侯区·高朋大道 | 15-18K | 5-10年本科 | 掌控者科技 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/7a89aaf6eb3542e71HF83d27EVVX.html |
| java开发工程师 | 成都·郫都区·红光镇 | 12-24K·16薪 | 经验不限本科 | 天支品控 | 其他专业服务100-499人 | https://www.zhipin.com/job_detail/db4523f4932bb5141HN82Nu1GVNX.html |
| Java | 成都·郫都区·高新西 | 15-30K·14薪 | 经验不限本科 | 华为 | 计算机软件不需要融资10000人以上 | https://www.zhipin.com/job_detail/09613f90d4c059f91nN62N67FlRQ.html |
| java开发工程师 | 成都 | 15-30K·16薪 | 经验不限本科 | 某知名互联网上市公司 | 互联网已上市1000-9999人 | https://www.zhipin.com/job_detail/c7040a63c4aba26e1HF-2ti_FltW.html |
| 中/高级java开发工程师/Java组长 | 成都·锦江区·红星路 | 12-21K | 5-10年本科 | 京北方 | 互联网金融已上市10000人以上 | https://www.zhipin.com/job_detail/1a65e538f7001bf11Hx73924FFRU.html |
| Java开发工程师 | 成都·武侯区·中和 | 18-20K | 5-10年本科 | 悟空教育 | 在线教育B轮1000-9999人 | https://www.zhipin.com/job_detail/790ac4f28048ae4d1Hx_3NW-ElRU.html |
| 高级Java工程师 | 成都 | 25-35K·14薪 | 5-10年本科 | 成都精灵云 | 计算机软件B轮100-499人 | https://www.zhipin.com/job_detail/818db58ac9f439551HFz29m1EVFZ.html |
| Java | 成都·双流区·华阳 | 16-18K | 5-10年本科 | 四川长虹佳华数字技术 | 互联网10000人以上 | https://www.zhipin.com/job_detail/e3a4a0cf2553dc5d1HJ-09q4FVNS.html |
| Java开发工程师（自研产品） | 成都·武侯区·中和 | 18-25K·14薪 | 5-10年本科 | 北京思晟未来科技 | 计算机软件不需要融资20-99人 | https://www.zhipin.com/job_detail/392c2a2a0ec01f831HN92dS9EFRT.html |
| 高级java开发 | 成都·双流区·华阳 | 18-25K | 5-10年本科 | 正达振天 | 计算机软件不需要融资20-99人 | https://www.zhipin.com/job_detail/22d4d4aeb2be8f451HJ53ti1EFRR.html |
| java/高级/专家 | 成都 | 40-60K·16薪 | 5-10年本科 | 某大型计算机服务公司 | 计算机服务500-999人 | https://www.zhipin.com/job_detail/c5e0ac57a21bbb141HFy3t60EFtQ.html |
| 中高级java开发工程师 | 成都·武侯区·新会展中心 | 15-30K | 5-10年大专 | 鉴星 | 互联网未融资0-20人 | https://www.zhipin.com/job_detail/5d9a5862be54a4601Xx609-8F1BQ.html |
| java高级研发工程师（成都） | 成都·武侯区·火车南站 | 20-25K | 5-10年本科 | 法询金融科技 | 互联网金融未融资20-99人 | https://www.zhipin.com/job_detail/9cdeac53ce7eca5d1HZ52dq6EVdT.html |
| java | 成都·武侯区·中和 | 30-60K·16薪 | 3-5年本科 | 蚂蚁集团 | 互联网D轮及以上10000人以上 | https://www.zhipin.com/job_detail/ebf159c8b8dae8721HN839y_GVVW.html |
| Java | 成都·武侯区·铁像寺 | 20-40K·15薪 | 5-10年本科 | 美团服务体验中心 | 电子商务已上市10000人以上 | https://www.zhipin.com/job_detail/45526c96ae296eea1nxy2Nq1EVdY.html |
| 基础架构资深开发（Java） | 成都·双流区·中和 | 20-30K·13薪 | 5-10年本科 | 书声科技 | 互联网B轮1000-9999人 | https://www.zhipin.com/job_detail/725e080ea00d58901HZy2t-1E1BX.html |
| Java 开发工程师 | 成都·锦江区·琉璃场 | 11-16K·13薪 | 5-10年本科 | 申朴信息 | 互联网金融已上市10000人以上 | https://www.zhipin.com/job_detail/5c36bc286ba9d2881HR83d24EFVX.html |
| 成都java(中信) | 成都·双流区·华阳 | 11-12K | 5-10年本科 | 易诚互动 | 互联网不需要融资1000-9999人 | https://www.zhipin.com/job_detail/2f22a0bb4799f1d61Hx92tS8GFVS.html |
| java后端开发（成都） | 成都·武侯区·中和 | 13-19K·13薪 | 5-10年本科 | 汇合发展 | 企业服务不需要融资10000人以上 | https://www.zhipin.com/job_detail/33496009035e44441Hx53t65EVtT.html |
| java中高级开发工程师-双休 | 成都·武侯区·新会展中心 | 17-21K | 5-10年本科 | 睿晟天和 | 广告/公关/会展不需要融资100-499人 | https://www.zhipin.com/job_detail/cb3f8ff492c444981HN72926F1pY.html |
| 高级java开发工程师 | 成都·武侯区·中和 | 15-25K | 5-10年本科 | 上海芸瑞网络 | 互联网金融0-20人 | https://www.zhipin.com/job_detail/65674b339c2bf0841Hx809m1EFBQ.html |
| java开发工程师 | 成都·双流区·华阳 | 13-15K | 5-10年本科 | 汉朔公司 | 计算机服务未融资1000-9999人 | https://www.zhipin.com/job_detail/8d73da6cb1df460c0Xd-39W6F1U~.html |
| java | 成都·武侯区·中和 | 11-16K | 5-10年本科 | MBtech | 其他行业100-499人 | https://www.zhipin.com/job_detail/224e9a680ef5561a1Hx52tW0FVpX.html |
| JAVA（急招！平安经验优先） | 成都·锦江区·琉璃场 | 10-12K | 5-10年本科 | 法本 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/888a786c408179be1Hx_29-4FVJW.html |
| java开发（国企） | 成都 | 20-25K | 1-3年本科 | 某大型计算机服务公司 | 计算机服务未融资500-999人 | https://www.zhipin.com/job_detail/d2873e44494883071HF42tS6FFJU.html |
| JAVA开发工程师 | 成都·温江区·柳城 | 15-16K | 5-10年本科 | 纬创软件 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/de52bc3d7104b63e1Hx_0tq8FVBU.html |
| 高级java开发（自研产品） | 成都·武侯区·中和 | 15-20K | 5-10年本科 | 成都思晟未来教育咨询 | 在线教育未融资20-99人 | https://www.zhipin.com/job_detail/ae27ce2327cb92de1HNy3ty_E1RV.html |
| Java开发工程师 | 成都·武侯区·成都高新区 | 10-15K | 5-10年本科 | 万物纵横 | 计算机服务未融资20-99人 | https://www.zhipin.com/job_detail/ef0c77d12d69e9881HF439S5FlFR.html |
| java项目经理 | 成都·武侯区·石羊场 | 15-20K | 5-10年本科 | 中软国际 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/2b49a62dfb91c8fa1Hx80t25EVZR.html |
| Java | 成都·武侯区·新会展中心 | 15-25K·13薪 | 5-10年本科 | 多点DMALL | 新零售C轮1000-9999人 | https://www.zhipin.com/job_detail/33b04ec6e4fbcdf21XZ53tS8F1tX.html |
| 高级Java工程师 | 成都·青羊区·光华 | 15-25K | 5-10年本科 | 上海占智 | 医疗服务100-499人 | https://www.zhipin.com/job_detail/9dbe5b1dcd7e33951HJz2tm8EFpY.html |
| java开发工程师 | 成都·武侯区·紫荆 | 16-20K | 5-10年本科 | 神州信息 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/23bcf60a3a4e1e881Hd_3NS9F1FT.html |
| 高级Java工程师（成都） | 成都 | 18-28K·14薪 | 5-10年本科 | 差旅壹号 | 互联网已上市500-999人 | https://www.zhipin.com/job_detail/732e2df9565eecf21XZ709--EVtU.html |
| Java开发工程师 | 成都·武侯区·中和 | 15-20K | 5-10年本科 | 淘滩科技 | 电子商务天使轮20-99人 | https://www.zhipin.com/job_detail/c48b97df96b650041Hx52d29F1FQ.html |
| Java开发工程师 | 成都 | 20-30K·15薪 | 5-10年本科 | 某大型计算机软件-云计算上市公司 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/2acde58608d70b4d1Hx-39-0ElFT.html |
| java工程师 | 成都·武侯区·新会展中心 | 13-25K | 3-5年本科 | 乐立杯 | 移动互联网B轮20-99人 | https://www.zhipin.com/job_detail/c7c5f1dbb159f2cc1HF80t64EFdR.html |
| 资深java开发工程师 | 成都 | 28-35K·14薪 | 5-10年本科 | 某大型计算机软件公司 | 计算机软件C轮100-499人 | https://www.zhipin.com/job_detail/84643b761ba046f21HJz2d25GFRR.html |
| 高级java开发 | 成都·双流区·华阳 | 13-20K | 5-10年本科 | 中锦数柚科技有限公司 | 互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/bbb6e3e3dc6d3c1a1Hx60t21F1FX.html |
| Java开发 | 成都·武侯区·中和 | 12-15K | 5-10年本科 | 神州通誉 | 计算机软件未融资1000-9999人 | https://www.zhipin.com/job_detail/317a2fde275a61e81Hx_39-8E1RW.html |
| 高级java开发工程师 | 成都·武侯区·中和 | 20-40K·16薪 | 5-10年本科 | 一点万物 | 计算机软件100-499人 | https://www.zhipin.com/job_detail/2cd11e671f3a883a1Hx80tm9GFtV.html |
| 成都高级后端开发（Java+golang） | 成都·武侯区·中和 | 16-22K | 5-10年本科 | 郑州麦垛企业服务 | 咨询100-499人 | https://www.zhipin.com/job_detail/1ed64319c8c9109b1HN80tu_FFdY.html |
| 高级Java工程师 | 成都·武侯区·保利花园 | 18-28K | 5-10年本科 | 宸飞教育 | 学前教育未融资20-99人 | https://www.zhipin.com/job_detail/a3a9182bde1cd21a33Bz0t-_GVo~.html |
| 高级Java开发工程师（信贷行业） | 成都·双流区·成都高新区 | 25-35K·13薪 | 5-10年本科 | 量子数能 | 互联网金融A轮20-99人 | https://www.zhipin.com/job_detail/b53edddc4c6a8dc11HB939q8E1ZW.html |
| java开发工程师 | 成都·武侯区·中和 | 15-25K | 3-5年本科 | 考拉悠然科技 | 互联网B轮100-499人 | https://www.zhipin.com/job_detail/27e5669d70558a781HF63t25FlJZ.html |
| Java高级架构工程师 | 成都·青羊区·文殊院 | 18-30K | 5-10年本科 | 茂松软件 | 互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/5577d585ae3ac25a1HNz2tq7FVdX.html |
| Java工程师（精通日语或英语）外企驻场双休 | 成都 | 24-35K | 5-10年大专 | 某中型IT服务及数字化方案公司 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/0521cf26b8267d511Hx73di4EVVU.html |
| Java EE软件工程师 | 成都·武侯区·火车南站 | 8-13K | 5-10年本科 | 必竟(成都) | 装修装饰不需要融资100-499人 | https://www.zhipin.com/job_detail/97c0792a4310ca7f1HJz3Nq4FVJU.html |
| 高级JAVA | 成都·武侯区·新会展中心 | 18-25K | 5-10年本科 | 蜀云物连 | 互联网天使轮20-99人 | https://www.zhipin.com/job_detail/228ece2c546ab99c1Xx_3dq7FVFX.html |
| Java技术 | 成都·武侯区·紫荆 | 16-17K | 5-10年大专 | 匠企财税 | 财务/审计/税务未融资20-99人 | https://www.zhipin.com/job_detail/0854455bff6339461HV90t26E1ZU.html |
| java开发 | 成都·武侯区·石羊场 | 11-16K | 5-10年本科 | 赛意信息 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/fad55754bb21eef01HZ429i-F1pQ.html |
| 资深java架构师 | 成都·武侯区·中和 | 20-25K | 5-10年大专 | 宜宾古洛尼家电 | 建筑材料不需要融资0-20人 | https://www.zhipin.com/job_detail/8e989abab805d07f1Hdy2NW9E1VY.html |
| 高级java | 成都·金牛区·沙湾 | 30-40K | 5-10年本科 | 俚声 | 广告/公关/会展0-20人 | https://www.zhipin.com/job_detail/77c4337818a1d9401HN63dm0GVdS.html |
| java专家 | 成都·锦江区·汪家拐 | 20-40K·13薪 | 5-10年本科 | 北京海量数据 | 大数据已上市500-999人 | https://www.zhipin.com/job_detail/235ad8f8f82b4f811HNy3929FFNU.html |
| 高级java开发工程师 | 成都 | 14-22K·13薪 | 5-10年本科 | 众鹏科技 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/23503d7aa8f3338f1XF-3N-9EFBQ.html |
| 高级java开发工程师 | 成都·双流区·广都 | 16-23K | 5-10年本科 | 致远互联 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/a1e2018250b9dab41Hx73t60GVJV.html |
| 高级java开发 | 成都·武侯区·中和 | 15-28K | 3-5年本科 | 甲骨易翻译 | 咨询已上市100-499人 | https://www.zhipin.com/job_detail/d431c7fef1f8650b1Hx529m4FFRY.html |
| Java后端 | 成都·锦江区·四川师大 | 15-20K | 5-10年本科 | 易训管理咨询 | 咨询未融资100-499人 | https://www.zhipin.com/job_detail/d6e8eee662e9b1ae1Hd_096-F1tZ.html |
| Java 后端开发工程师 | 成都 | 20-30K | 3-5年本科 | 某大型电力/热力/燃气/水利公司 | 电力/热力/燃气/水利10000人以上 | https://www.zhipin.com/job_detail/9cc22a94e1613c8e1Hx_3dm1EVdX.html |
